,scholar_indx,name,grade,birth_date_place,death_date_place,birth_place,birth_date,birth_date_hijri,birth_date_gregorian,death_date_hijri,death_date_gregorian,death_place,death_reason,Father,Mother,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,sibling1,siblings2,siblings3,siblings4,siblings5,siblings6,siblings7,siblings8,siblings9,siblings10,siblings11,placeStay1,placeStay2,placeStay3,placeStay4,placeStay5,teachers1,teachers2,teachers3,teachers4,teachers5,teachers6,teachers7,teachers8,teachers9,teachers10,teachers11,teachers12,teachers13,teachers14,teachers15,teachers16,teachers17,teachers18,teachers19,teachers20,teachers21,teachers22,teachers23,teachers24,students1,students2,students3,students4,students5,students6,students7,students8,students9,students10,students11,students12,students13,students14,students15,students16,students17,students18,students19,students20,students21,students22,students23,students24,area_of_interest1,area_of_interest2,area_of_interest3,area_of_interest4,area_of_interest5,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,book1,book2,book3,book4,book5,book6,book7,book8,tbook9,book10,book11,book12,book13,tbook14,book15,book16
10,11,Sa'id bin Zayd ,Comp.(RA) [1st Generation],~23 BH/594 CE (Makkah),50 AH/671 CE (Medinah)[ Natural ],Makkah,"['23 BH', '594 CE']",23,594,50,671,Medinah,Natural,Zayd bin 'Amr bin Nufayl [567],Fatima bint Ba'aja [568],Fatima bint al-Khattab [78] , Khayra bint Qays [587],,,,,,,,,,,Asma bint Sa'id bin Zayd [96] , Zayd, Hisham bin S'aid bin Zayd [13269] , 'Abdur Rahman,,,,,,,,,'Atikah bint Zayd [196],,,,,,,,,,,Makkah, Medina, Kufa,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,Hisham bin S'aid bin Zayd [13269] , 'Abdullah bin 'Amr bin al-'Aas [29] , 'Amr bin Hurayth bin 'Amr bin 'Uthman [5202] , Abu al-Tufayl, 'Amir bin Wathla [3660] , Qays bin Abi Hazim [11046] , Abu 'Uthman al-Nahdi [11113] , Humaid bin 'Abdur Rahman [10561] , 'Abdur Rahman bin 'Amr [11520] , 'Urwa ibn al-Zubayr [10511] , 'Abdur Rahman bin al-Akhns [15317] , 'Abbas bin Sahl bin Sa'd [11697] , 'Abdullah bin Zalm [19920] , Talha bin 'Abdullah [11043] , Muhammad bin Zayd bin 'Abdullah [11217] , Ibn Sirin [11035],,,,,,,,,Recitation/Quran, Narrator , Commander,,,Quraish [Quraish] , B.'Adi [B.'Adi] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Promised Paradise [Promised%20Paradise] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,
11,12,Mus'ab ibn 'Umair ,Comp.(RA),(Makkah),3 AH/625 CE (Medinah)[ Martyred(Uhud) ],Makkah,[],,,3,625,"Medinah, Uhud",Martyred,'Umair b. Hashim,Khunnas bint Malik,Hamnah bint Jahsh [72],,,,,,,,,,,,Zaynab bint Mus'ab ibn 'Umair [554],,,,,,,,,,,,Abu al-Rome  ibn 'Umair [553] , Abu 'Aziz ibn 'Umair [484],,,,,,,,,,Makkah, Abyssinia, Medinah,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,lot of Ansaris,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Preacher, Fiqh,,,Quraish [Quraish] , B.'Abd al-Dar [B.'Abd%20al-Dar] , Early Muslim [Early%20Muslim] , Tortured [Tortured] , Abyssinia 1 [Abyssinia%201] , Abyssinia 2 [Abyssinia%202] , Badr [Badr] , Uhud [Uhud] , Envoy [Envoy] , Emigrant [Emigrant],,,,,,,,,,,,,,,,,
12,13,Abu Hurairah ,Comp.(RA) [1st Generation],"12 BH/603 CE (Baha, Yemen)",59 AH/681 CE (Medinah)[ Natural ],"Baha, Yemen","['12 BH', '603 CE']",12,603,59,681,Medinah,Natural,/ Umaima/Maymuna,,Basra bint Ghazwan [3656],,,,,,,,,,,,Daughter,,,,,,,,,,,,,,,,,,,,,,,Makkah, Medina, Yemen, Bahrain,,Muhammad (saw) [1] , Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3] , Fadl ibn al-'Abbas [135] , Ubayy ibn Ka'b [39] , Usamah ibn Zayd [50] , 'Aisha bint Abi Bakr [53] , ,,,,,,,,,,,,,,,,,Mahrar bin Abi Huraira [12496] , ibn Abbas [17] , ibn Umar [18] , Anas bin Malik [19] , Wathla bin al-'Asqa' [4049] , Jabir ibn 'Abdullah [34] , Marwan bin al-Hakam bin Abi al-'As [858] , Qubaysa bin Zuwayb [5232] , Sa'id ibn al-Musayyib [11002] , Salman al-Aghar Abu 'Abdullah [11171] , Qays bin Abi Hazim [11046] , Malik bin Abi 'Amir [11443] , Abu Umama bin Sahl [405] , Abu Idrees al-Khulani [11027] , Abu 'Uthman al-Nahdi [11113] , Abu Sufyan [11451] , Abu Rafi' al-Sa'agh [11226] , Abu Zara' bin 'Amr /Harm [11406] , al-Aghr Abu Muslim [11829] , ,,,,,Narrator ,,,,,Yemeni [Yemeni] , Dausi [Dausi] , Client [Client] , Late Muslim [Late%20Muslim],,,,,,,,,,,,,,,,,,,,,,,
13,14,Salman Farsi ,Comp.(RA) [1st Generation],"(Kazerun, Iran)","36 AH (al-Mada'in,Iraq)[ Natural ]","Kazerun, Iran",[],,,36,,"al-Mada'in,Iraq",Natural,Budhakshan bin Mursalan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asbahan, Jia, Medina, Fars, Kufa,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,Anas bin Malik [19] , Ka'b bin 'Ajra al-Salmi, al-Ansari [4052] , ibn Abbas [17] , Abu Sa'id al-Khudri [38] , Abu al-Tufayl, 'Amir bin Wathla [3660] , Umm al-Darda'a [11457] , Abu 'Uthman al-Nahdi [11113] , Zadhan Abu 'Umar [10911] , Sa'id bin Wahb al-Hmdany [10768] , Tariq bin Shahab [3680] , 'Abdur Rahman bin Yazid al-Nakha'i [11055] , Shar bin Hushab al-Asha'ri [11044],,,,,,,,,,,Recitation/Quran, Narrator, Fiqh, Science, Governor,al-Farsi [al-Farsi] , Servant [Servant] , Client [Client] , Trench [Trench],,,,,,,,,,,,,,,,,,,,,,,
14,15,Zayd ibn Harithah ,Comp.(RA) [1st Generation],35 BH/588 CE (Hijaz),"8 AH/629 CE (Busra, Near Karak, Syria)[ Martyred(Mu'tah) ]",Hijaz,"['35 BH', '588 CE']",35,588,8,629,"Busra, Near Karak, Syria, Mu'tah",Martyred,Harithah ibn Sharahil [2281],Su`da bint Tha`laba of B. Ma'n,Umm Kulthum bint 'Uqba [95] , Durrah bint Abi Lahab [453] , Umm Ayman, Barakah [202] , Zaynab bint Jahsh [57],,,,,,,,Zayd ibn Zayd [550] , Ruqiyyah ibn Zayd [551] , Usamah ibn Zayd [50] , Zaynab ibn Zayd [552],,,,,,,,,Mughith, the husband of Barira [536] , Jabla bin Harithah [2280],,,,,,,,,Makkah, Medina,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,Usamah ibn Zayd [50] , al-Bara' bin Azib bin al-Harith [400] , ibn Abbas [17] , Anas bin Malik [19] , Others,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Commander, Narrator ,,,Ally B.Hashim [Ally%20B.Hashim] , al-Kalbi [al-Kalbi] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq] , Mu'tah [Mu'tah] , Freed Slave [Freed%20Slave] , client [client],,,,,,,,,,,,,,,,,
15,16,ibn Mas'ud ,Comp.(RA) [1st Generation],(Makkah),32 AH/ 652 CE (Medina/Kufa)[ Natural ],Makkah,[],,,32,652,Medina/Kufa,Natural,Mas'ud b. Ghafil b. Habib,Umm 'Abdullah bin Mas'ud [499],Rayta bint 'Abdullah [497] , Zaynab bint. Abi Mu'awiya [498],,,,,,,,,,,'Abdur Rahman bin 'Abdullah [11363] , Abu 'Ubaida bin 'Abdullah bin Mas'ud [15681],,,,,,,,,,,'Utba ibn Mas'ud [765],,,,,,,,,,,Makkah, Abyssinia, Medina, kufah,,Muhammad (saw) [1] , Sa'd ibn Mua'dh [46] , 'Umar ibn al-Khattab [3] , Safwan bin 'Assal [4143],,,,,,,,,,,,,,,,,,,,,'Abdur Rahman bin 'Abdullah [11363] , Abu 'Ubaida bin 'Abdullah bin Mas'ud [15681] , 'Abdullah bin 'Utba [4145] , Abu Sa'id al-Khudri [38] , Anas bin Malik [19] , Jabir ibn 'Abdullah [34] , ibn Umar [18] , Abu Musa al-Asha'ari [41] , al-Hajjaj bin Malik al-Aslami [4113] , Abu Umama al-Bahili [4048] , Tariq bin Shahab [3680] , Abu al-Tufayl, 'Amir bin Wathla [3660] , 'Abdullah ibn al-Zubayr [106] , ibn Abbas [17] , Abu Juhayfa al-Sawai' [4047] , Abu Rafi' [479] , 'Abdullah bin al-Harith [10780] , 'Amr bin al-Harith bin Abi Darar [5201] , Qurrah bin Iyas [5238] , Khultum bin al-Mstlq Whw Khultum [18881] , Abu Sharih al-Khuza'i,al-Ka'bi [5355] , Zaynab bint. Abi Mu'awiya [498] ,Tafsir/Quran, Recitation/Quran, Narrator ,,,al-Hadhli [al-Hadhli] , Ally B.Zurah [Ally%20B.Zurah] , Early Muslim [Early%20Muslim] , Abyssinia 1 [Abyssinia%201] , Abyssinia 2 [Abyssinia%202] , Emigrant [Emigrant] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq] , Servant [Servant] , Baqi' [Baqi'],,,,,,,,,,,,,,,,
16,17,ibn Abbas ,Comp.(RA) [1st Generation],3 BH/619 CE (Makkah),68 AH/687 CE (Ta'if)[ Natural ],Makkah,"['3 BH', '619 CE']",3,619,68,687,Ta'if,Natural,al-'Abbas ibn 'Abd al-Muttalib [100],Umm Fadl Lubaba bint al-Harith [156],Zar'ah bint Mishrah b. Madi-Karib,,,,,,,,,,,,'Ali bin 'Abdullah bin 'Abbas [10949] , 'Abbas bin 'Abdullah bin al-Abbas [12977] , Muhammad bin 'Abdullah bin 'Abbas [18922] , 'Ubaydallah bin 'Abdullah bin al-Abbas [16675] , Al-Fadl, Lubabah, Asma,,,,,,Fadl ibn al-'Abbas [135] , 'Ubaydallah bin al-'Abbas [133] , Qutham ibn al-'Abbas [128] , Ma'bad bin al-'Abbas [520] , 'Abdur Rahman ibn al-'Abbas [521] , Umm Habiba ibn al-'Abbas [522],,,,,,Makkah, Medina,,,,Muhammad (saw) [1] , Prophet Muhammad(saw) [1] , al-'Abbas ibn 'Abd al-Muttalib [100] , Umm Fadl Lubaba bint al-Harith [156] , Fadl ibn al-'Abbas [135] , Maymuna bint al-Harith [61] , Abu Bakr As-Siddique [2] , 'Uthman ibn 'Affaan [4] , Ali ibn Abi Talib [5] , 'Abdur Rahman Ibn 'Awf [8] , Mu'adh ibn Jabal [32] , Abu Dharr al-Ghaffari [23] , Ubayy ibn Ka'b [39] , Tamim al-Dari [382] , Khalid bin al-Walid [22] , Usamah ibn Zayd [50] , Hamal bin Malik bin al-Nabghah [4124] , al-Sa'b bin Juthama bin Qays [3661] , 'Ammar ibn Yasir [25] , Abu Sa'id al-Khudri [38] , Abu Talha Ansari [229] , Abu Hurairah [13] , Mu'awiya ibn Abu Sufyan [27] , Abu Sufyan ibn Harb [116] ,Nafie' [11014] , al-Qasim ibn Muhammad [10535] , 'Ali bin 'Abdullah bin 'Abbas [10949] , Muhammad bin 'Ali bin 'Abd. bin 'Abbas [10961] , ibn Umar [18] , Tha'lba bin al-Hakam [4133] , al-Miswar bin Makhrama bin Nawfal [2201] , Abu al-Tufayl, 'Amir bin Wathla [3660] , others,,,,,,,,,,,,,,,Tafsir/Quran, Recitation/Quran, Narrator ,,,Quraish [Quraish] , B.Hashim [B.Hashim] , Early Muslim [Early%20Muslim] , Child [Child] , Cousin [Cousin],,,,,,,,,,,,,,,,,,,,,,
17,18,ibn Umar ,Comp.(RA) [1st Generation],10 BH/613 CE (Makkah),74 AH/693 CE (Makkah)[ Natural ],Makkah,"['10 BH', '613 CE']",10,613,74,693,Makkah,Natural,'Umar ibn al-Khattab [3],Zaynab bint Maz'un [124],Safiyya bint Abi 'Ubaid al-Thaqafi [11811] , Umm Walad, Umm Walad,,,,,,,,,,Abu Bakr, Abu 'Ubaida, Waqid bin 'Abdullah ibn 'Umar [11813] , 'Abdullah bin 'Abdullah Ibn 'Umar [11814] , 'Umar bin 'Abdullah Ibn 'Umar [11815] , Hafsa, Sawda, Bilal bin 'Abdullah bin 'Umar [11816] , Zayd bin 'Abdullah bin 'Umar [11819] , Salim bin 'Abdullah bin 'Umar [11011] , 'Ubaidullah bin 'Abdullah bin 'Umar [11817] , Hamza bin 'Abdullah bin 'Umar [11818],Hafsa bint Umar [54] , 'Abdur Rahman bin 'Umar (Akbar) [560],,,,,,,,,,Makkah, Medina,,,,Muhammad (saw) [1] , 'Umar ibn al-Khattab [3] , Zayd ibn al-Khattab [114] , Hafsa bint Umar [54] , Abu Bakr As-Siddique [2] , 'Uthman ibn 'Affaan [4] , Ali ibn Abi Talib [5] , Sa'id bin Zayd [11] , Bilal ibn Ribah [24] , Zayd ibn Thabit [49] , Suhayb bin Sinan ar-Rumi [182] , ibn Mas'ud [16] , 'Aisha bint Abi Bakr [53] , Rafi' bin Khadij bin Rafi' [1986],,,,,,,,,,,Waqid bin 'Abdullah ibn 'Umar [11813] , 'Abdullah bin 'Abdullah Ibn 'Umar [11814] , 'Umar bin 'Abdullah Ibn 'Umar [11815] , Bilal bin 'Abdullah bin 'Umar [11816] , Zayd bin 'Abdullah bin 'Umar [11819] , Salim bin 'Abdullah bin 'Umar [11011] , 'Ubaidullah bin 'Abdullah bin 'Umar [11817] , Hamza bin 'Abdullah bin 'Umar [11818] , Nephews, Grandsons, Sa'id ibn al-Musayyib [11002] , Nafie' [11014] , al-Qasim ibn Muhammad [10535] , Others,,,,,,,,,,,Tafsir/Quran, Recitation/Quran, Narrator ,,,Quraish [Quraish] , B.'Adi [B.'Adi] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Ridwan [Ridwan] , Khandaq [Khandaq] , Makki [Makki],,,,,,,,,,,,,,,,,,,,
18,19,Anas bin Malik ,Comp.(RA) [1st Generation],10 BH/613 CE (Medinah),93 AH/712 CE (Basrah)[ Natural ],Medinah,"['10 BH', '613 CE']",10,613,93,712,Basrah,Natural,Malik ibn Nadr,Umm Sulaym bint Milhan [83],,,,,,,,,,,,,al-Nadr bin Anas bin Malik [11310] , 'Abdullah bin Anas bin Malik [14631] , Abu Bakr bin Anas bin Malik [10630] , Musa bin Anas bin Malik [14383],,,,,,,,,al-Bara' bin Malik [385],,,,,,,,,,,Medinah, Damascus,  Basrah,,,Muhammad (saw) [1] , Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3] , 'Uthman ibn 'Affaan [4] , 'Abdullah ibn Rawaha [48] , Fatima bint Muhammad [63] , Thabit bin Qays b. Shammas [239] , 'Abdur Rahman Ibn 'Awf [8] , ibn Mas'ud [16] , Malik bin Sa'sa'a [1335] , Abu Dharr al-Ghaffari [23] , Ubayy ibn Ka'b [39] , Abu Talha Ansari [229] , Mu'adh ibn Jabal [32] , 'Ubada bin As-Samit [40] , Umm Sulaym bint Milhan [83] , Umm Haram bint Milhan [209] , Umm Fadl Lubaba bint al-Harith [156] , Several Others,,,,,,al-Hasan al-Basri [11016] , Sulaiman bin Tarkhan al-Taymi [11289] , Abu Qalaba, 'Abdullah bin Zayd al-Jarmi [11047] , Lahaaq bin Hameed bin Sa'id [11313] , 'Abdul 'Aziz bin Suhaib [11295] , Ishaq bin 'Abdullah bin Abi Talha [11151] , Bakr bin 'Abdullah al-Mazni [11267] , Qatada [11019] , Thabit bin Aslam Albanani [11269] , Hameed bin Abi Hameed [11279] , Thmamh bin 'Abdullah [11270] , ,,,,,,,,,,,,Tafsir/Quran, Recitation/Quran, Narrator ,,,Ansar [Ansar] , Khazraj [Khazraj] , B.'Ady B.al-Najjar [B.'Ady%20B.al-Najjar] , Servant [Servant],,,,,,,,,,,,,,,,,,,,,,,
19,20,Hamza ibn 'Abd al-Muttalib ,Comp.(RA),53 BH/ 570 CE (Makkah),"3 AH/ 625 CE (Hijaz, Uhud)[ Martyred(Uhud) ]",Makkah,"['53 BH', '570 CE']",53,570,3,625,"Hijaz, Uhud, Uhud",Martyred,'Abd al-Muttalib b. Hashim b. 'Abd Manaf [9990],Halah bint Wuhayb al-Zuhriyya [9999],Salma bint 'Umays [86] , Khawla bint Qays bin Qahd [1261],,,,,,,,,,,'Umama bint Hamza [181] , 'Umara bin Hamza [546] , Ya'la bin Hamza [547] , Fatima bin Hamza [548] , Ammtullah bint Hamza [549],,,,,,,,al-Muqawwim('Abdul Kab'ah), Hajl(Al-Mughirah/Al-Ghidaq), Safiyya bint ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Â¹Ãƒâ€¦Ã¢â‚¬Å“Abd al-Muttalib [85],,,,,,,,,Makkah, Medina,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Commander,,,,Quraish [Quraish] , B.Hashim [B.Hashim] , Uncle [Uncle] , Milk Brother [Milk%20Brother] , Emigrant [Emigrant] , Badr [Badr] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,
20,21,Ja'far ibn Abi Talib ,Comp.(RA) [1st Generation],~33 BH (Makkah),8 AH/629 CE (Syria)[ Martyred(Mu'tah) ],Makkah,['33 BH'],33,,8,629,"Syria, Mu'tah",Martyred,Abu Talib ibn 'Abd al-Muttalib [9992],Fatima bint Asad [77],Asma bint 'Umays [69],,,,,,,,,,,,'Abdullah ibn Ja'far [108] , Muhammad ibn Ja'far [184] , Awn ibn Ja'far [185],,,,,,,,,,Talib ibn Abi Talib [164] , 'Aqeel ibn Abi Talib [165] , Ali ibn Abi Talib [5] , Umm Hani bint Abi Talib [198] , Jumanah bint Abi Talib [199],,,,,,,Makkah, Abyssinia, Medina,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,'Abdullah ibn Ja'far [108] , Umm Salamah [56] , 'Amr bin al-'Aas [28] , ibn Mas'ud [16],,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Commander,,,,Quraish [Quraish] , B.Hashim [B.Hashim] , Early Muslim [Early%20Muslim] , Abyssinia 2 [Abyssinia%202] , Safinateen [Safinateen] , Mu'tah [Mu'tah],,,,,,,,,,,,,,,,,,,,,
21,22,Khalid bin al-Walid ,Comp.(RA) [1st Generation],30 BH/592 CE (Makkah),"21 AH/642 CE (Hims, Syria)[ Natural ]",Makkah,"['30 BH', '592 CE']",30,592,21,642,"Hims, Syria",Natural,al-Walid bin Mughairah Makhzumi,Lubaba(Sughra) bint al-Harith [141],Kabsha bint Hudhah al-'Adhriyya, Asma bint Anas al-Khatha'miyya [2026],,,,,,,,,,,Suliaman bin Khalid bin al-Walid [2024] , Sara bint Khalid, al-Muhajir bin Khalid bin al-Walid [2021] , 'Abdur Rahman bin Khalid bin al-Walid [2022] , 'Abdullah bin Khalid bin al-Walid [2023],,,,,,,,Najiyah/'Atika/Fakhta bint al-Walid [80] , al-Walid bin al-Walid [2030] , Hurmila bin al-Walid [2032] , Hisham bin al-Walid [2033] , 'Ammara bin al-Walid [2034] , Fatima bint al-Walid b. al-Mughirah [454],,,,,,Makkah, Medina, Syria,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,ibn Abbas [17] , ,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Commander, Narrator ,,,Quraish [Quraish] , B.Makhzum [B.Makhzum] , Late Muslim [Late%20Muslim] , Mu'ta [Mu'ta] , Conquest [Conquest] , Hunain [Hunain] , Scribe [Scribe],,,,,,,,,,,,,,,,,,,,
22,23,Abu Dharr al-Ghaffari ,Comp.(RA) [1st Generation],(Hijaz),32 AH/652 CE (Al-Rabathah near Medinah)[ Natural ],Hijaz,[],,,32,652,Al-Rabathah near Medinah,Natural,Junadah ibn Sakan,Ramla bint al-Waqi'ya al-Ghaffariyya,Umm Dhur [3132],,,,,,,,,,,,,,,,,,,,,,,,Anis bin Junadah al-Ghaffari [3133],,,,,,,,,,,Hijaz, Medina, Syria, Al-Rabathah,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,Anas bin Malik [19] , ibn Abbas [17] , Khalid bin Wahban bin Khalh [18253] , Zayd bin Wahb al-Jhny [11341] , Kharsha bin  al-Hurr al-Fazari [4026] , Jubayr bin Nufayr al-Hadrami [4097] , al-Ahnaf bin Qays [11112] , 'Abdullah bin al-Samit [10695] , Zayd bin Zbyan [15165] , 'Abdullah bin Shaqayq al-Aqayli [10694] , 'Amr bin Maymun al-Aw'di [11382] , 'Abdur Rahman bin Ghnm [5152] , Qays bin 'Aabad al-Qaysi [11609] , Abu Idrees al-Khulani [11027] , 'Amr bin Marthad, Abu Asma' al-Rahbi [10883] , Abu 'Uthman al-Nahdi [11113] , Abu al-Aswad al-Du'ali [11114] , al-Ma'rur bin Suwayd al-Asadi [11397] , Yazid bin Sharayk bin Tariq [11405] , Hamil/Jamil bin Basra [4087] , Sufyan bin Han'i, Abu Salam al-Jayshani [10858] , Zar bin Habaysh bin Habasha [11337] ,Recitation/Quran, Narrator ,,,,al-Ghaffari [al-Ghaffari] , Early Muslim [Early%20Muslim] , Client [Client] , Servant [Servant] , Emigrant [Emigrant],,,,,,,,,,,,,,,,,,,,,,
23,24,Bilal ibn Ribah ,Comp.(RA) [1st Generation],(Makkah),"21 AH/642 CE (Damascus, Syria)[ Natural ]",Makkah,[],,,21,642,"Damascus, Syria",Natural,Ribah,Hamamah,,,,,,,,,,,,,,,,,,,,,,,,,Khalid ibn Ribah [447],,,,,,,,,,,Makkah, Medina, Syria,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3] , Usamah ibn Zayd [50] , Ka'b bin 'Ajra al-Salmi, al-Ansari [4052] , ibn Umar [18] , al-Bara' bin Azib bin al-Harith [400] , 'Abdullah al-Snabhy Mkhtlf [5144] , Abu 'Uthman al-Nahdi [11113] , Abu Idrees al-Khulani [11027] , 'Abdur Rahman bin Abi Layla [11196] , Tariq bin Shahab [3680] , Qays bin Abi Hazim [11046],,,,,,,,,,,,Recitation/Quran, Narrator ,,,,Ally B.Taym [Ally%20B.Taym] , Early Muslim [Early%20Muslim] , Tortured [Tortured] , Freed Slave [Freed%20Slave] , Badr [Badr] , Uhud [Uhud] , Servant [Servant] , Mu'adhan [Mu'adhan],,,,,,,,,,,,,,,,,,,
24,25,'Ammar ibn Yasir ,Comp.(RA) [1st Generation],57 BH/566 CE (approx) (Makkah),37 AH/657 CE (Siffin)[ Martyred(Jamal) ],"approx, Makkah","['57 BH', '566 CE']",57,566,37,657,"Siffin, Jamal",Martyred,Yasir ibn 'Amir [243],Sumayyah bint Khayyat [89],,,,,,,,,,,,,Muhammad bin 'Ammar bin Yasir [18946],,,,,,,,,,,,'Abdullah, Hareeth,,,,,,,,,,Makkah, Medina, kufah,,,Muhammad (saw) [1] , Hudhayfah ibn al-Yaman [145],,,,,,,,,,,,,,,,,,,,,,,Muhammad bin 'Ammar bin Yasir [18946] , Ali ibn Abi Talib [5] , ibn Umar [18] , Jabir ibn 'Abdullah [34] , Abu Sa'id al-Khudri [38] , ibn Abbas [17] , Abu Musa al-Asha'ari [41] , 'Abdullah bin Anmh [5133] , 'Abdullah ibn Ja'far [108] , Abu al-Tufayl, 'Amir bin Wathla [3660] , 'Abdullah bin 'Utba [4145] , Shaqayq bin Salmah al-Asadi [11353] , Sala bin Zufar al-Absi [11354] , 'Abdur Rahman bin Abza [4046] , Qays bin 'Aabad al-Qaysi [11609] , Hamam bin al-Harith [11400] , Abu Maryum al-Asadi [5375] , N'ym bin Hnzlh al-Kwfa [15950] , Muhammad bin 'Ali bin al-Hanfiyyah [10600] , Najyh bin Ka'b al-Asady [19064] , Abu Bakr bin 'Abdur Rahman [11003] , others,,Recitation/Quran, Narrator ,,,,Ansi [Ansi] , Ally B.Makhzum [Ally%20B.Makhzum] , Early Muslim [Early%20Muslim] , Tortured [Tortured] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq],,,,,,,,,,,,,,,,,,,,
25,26,'Abdullah bin Jahsh ,Comp.(RA),(Makkah),"3 AH/625 CE (Uhud, Hijaz)[ Martyred(Uhud) ]",Makkah,[],,,3,625,"Uhud, Hijaz, Uhud",Martyred,Jahash bin Ri'ab,Umayma bint 'Abd al-Muttalib [9995],Zaynab bint Khazeemah [55] , or, Fatima bint Abi Hubaysh [414],,,,,,,,,,Muhammad bin 'Abdullah bin Jahsh [413],,,,,,,,,,,,Zaynab bint Jahsh [57] , Hamnah bint Jahsh [72] , Abd' bin Jahsh [259] , Umm Habib bint Jahsh [136] , Ubaidullah bin Jahsh,,,,,,,Makkah, Medina,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Commander,,,,Ally B.'Abd Shams [Ally%20B.'Abd%20Shams] , Asad [Asad] , Early Muslim [Early%20Muslim] , Abyssinia 2 [Abyssinia%202] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,
26,27,Mu'awiya ibn Abu Sufyan ,Comp.(RA) [1st Generation],13 BH/602 CE (Makkah),~60 AH/680 CE (Medina)[ Natural ],Makkah,"['13 BH', '602 CE']",13,602,60,680,Medina,Natural,Abu Sufyan ibn Harb [116],Hind bint 'Utba b. Rabi'a b. 'Abd Shams [74],,,,,,,,,,,,,Yazid bin Mu'awiya [19183],,,,,,,,,,,,Umm Hakam bint Abu Sufyan [841] , Juwayriyya bint Abu Sufyan [842] , Quriaba bint Abu Sufyan [843] , 'Utba ibn Abu Sufyan [844],,,,,,,,Makkah, Medina, Syria, Egypt,,Muhammad (saw) [1] , Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3] , Umm Habibah bint Abi Sufyan [59],,,,,,,,,,,,,,,,,,,,,Jarir bin 'Abdullah al-Bajli [4057] , al-Sa'ib bin Yazid bin Akht Namr [3048] , ibn Abbas [17] , Mu'awiya bin Hadeej [398] , Yazid bin Jariyya [1798] , Abu Umama bin Sahl [405] , Abu Idrees al-Khulani [11027] , Sa'id ibn al-Musayyib [11002] , Qays bin Abi Hazim [11046] , Lahaaq bin Hameed bin Sa'id [11313] , Humaid bin 'Abdur Rahman [10561] , Muhammad bin Jubayr bin Mut'im [11058],,,,,,,,,,,,,Recitation/Quran, Narrator ,,,,Quraish [Quraish] , B.Umayya [B.Umayya] , B.'Abd Shams [B.'Abd%20Shams] , Late Muslim [Late%20Muslim] , Scribe [Scribe] , Umayyad [Umayyad],,,,,,,,,,,,,,,,,,,,,
